time,ax,ay,az,atotal
2021-09-03 18:45:43.1600,-0.42,0.88,0.12,0.98
2021-09-03 18:45:43.1700,-0.24,0.82,0.24,0.88
2021-09-03 18:45:43.1800,-0.34,0.24,-0.18,0.45
2021-09-03 18:45:43.1910,-0.06,0.14,-0.45,0.47
2021-09-03 18:45:43.2010,0.41,0.21,-0.85,0.96
2021-09-03 18:45:43.2190,0.35,0.11,-0.96,1.02
2021-09-03 18:45:43.2220,0.28,0.04,-0.98,1.02
2021-09-03 18:45:43.2300,0.35,-0.06,-1.13,1.18
2021-09-03 18:45:43.2400,0.23,0.04,-1.05,1.07
2021-09-03 18:45:43.2510,0.1,0.08,-0.83,0.83
2021-09-03 18:45:43.2600,0.03,-0.2,-0.48,0.52
2021-09-03 18:45:43.2710,-0.11,-0.16,-0.11,0.22
2021-09-03 18:45:43.2800,-0.15,0.08,0.12,0.2
2021-09-03 18:45:43.2900,-0.05,0.08,0.14,0.16
2021-09-03 18:45:43.3010,-0.07,0.01,0.2,0.21
2021-09-03 18:45:43.3190,-0.06,-0.02,0.17,0.18
2021-09-03 18:45:43.3220,-0.11,-0.17,-0.16,0.25
2021-09-03 18:45:43.3300,-0.09,-0.23,-0.5,0.55
2021-09-03 18:45:43.3400,0.14,-0.15,-0.65,0.68
2021-09-03 18:45:43.3500,0.35,0.02,-0.61,0.7
2021-09-03 18:45:43.3600,0.25,0.03,-0.52,0.57
2021-09-03 18:45:43.3700,-0.01,-0.04,-0.36,0.36
2021-09-03 18:45:43.3800,-0.31,-0.07,-0.07,0.32
2021-09-03 18:45:43.3900,-0.53,-0.02,0.09,0.53
2021-09-03 18:45:43.4000,-0.27,0.14,0.06,0.31
2021-09-03 18:45:43.4170,0.0,0.07,0.01,0.07
2021-09-03 18:45:43.4210,0.15,0.02,0.05,0.15
2021-09-03 18:45:43.4300,0.13,0.02,-0.01,0.13
2021-09-03 18:45:43.4400,0.11,0.03,-0.2,0.23
2021-09-03 18:45:43.4500,0.17,0.07,-0.3,0.35
2021-09-03 18:45:43.4600,0.25,0.03,-0.37,0.44
2021-09-03 18:45:43.4700,0.38,0.07,-0.35,0.52
